x,y
116.505476,39.775345
116.508998,39.789112
116.51732,39.781685
116.502901,39.803511
116.51773,39.796116
116.517698,39.790024
116.506211,39.796345
116.566466,39.788586
116.526095,39.785775
116.483683,39.795741
116.556095,39.783069
116.485831,39.800471
116.498388,39.778006
116.521689,39.773333
116.50117,39.802279
116.5279,39.780253
116.531312,39.804043
116.502752,39.787837
116.498816,39.793301
116.563479,39.796255
116.489505,39.784192
116.531547,39.773684
116.527405,39.786647
116.536274,39.788721
116.525222,39.783668
116.52619,39.773246
116.517714,39.793265
116.51185,39.795846
116.530002,39.794981
116.532065,39.781169
116.517768,39.785933
116.515674,39.784926
116.51253,39.785219
116.526361,39.782355
116.514684,39.78446
116.487774,39.783404
116.470006,39.794477
116.471962,39.79322
116.492466,39.793227
116.504416,39.795162
116.507359,39.804915
116.521549,39.794051
116.498636,39.801146
116.500762,39.779017
116.553531,39.782149
116.487371,39.798426
116.511699,39.786521
116.513483,39.787499
116.490916,39.784685
116.538207,39.806757
116.541687,39.791261
116.511315,39.781751
116.507082,39.780765
116.525506,39.779333
116.520093,39.775567
116.48038,39.799609
116.498966,39.779584
116.509968,39.783032
116.488746,39.789728
116.516218,39.779421
116.503481,39.808514
116.475041,39.796916
116.482047,39.797539
116.548639,39.795026
116.54721,39.796732
116.522031,39.782661
116.522684,39.791853
116.519456,39.797221
116.52129,39.781347
116.515864,39.788494
116.52246,39.792418
116.518968,39.785763
116.548778,39.807725
116.503584,39.775911
116.477638,39.795118
116.544988,39.795769
116.515376,39.800974
116.522492,39.788207
116.474656,39.800144
116.55818,39.802034
116.474175,39.798469
116.523043,39.786635
"[116.515557, 39.796926]","[116.516596, 39.797478]"
116.524921,39.789373
116.543108,39.800935
116.547605,39.779872
116.528532,39.784322
116.506921,39.784067
116.510312,39.800015
116.512678,39.792393
116.502709,39.800998
116.520718,39.791669
116.525615,39.788673
116.524673,39.785726
116.505698,39.793437
116.540173,39.786098
116.504569,39.797179
116.508161,39.799545
116.512937,39.796324
116.516468,39.788833
116.49717,39.786435
116.516617,39.785418
116.513954,39.788453
116.492841,39.784365
116.53451,39.771187
116.517871,39.780647
116.477927,39.791841
